date,cancel_public_events,school_closing,restrictions_on_gathering,close_public_transport,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt/contract_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_of_elderly_people,total_cases,new_cases,total_deaths,new_deaths,workplace_closing,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2022-01-29,2.0,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,41092522.0,234281.0,494091.0,893.0,3.0,1650461284.0,938645671.0,701262521.0,10553092.0
2022-01-30,2.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,41302440.0,209918.0,495050.0,959.0,2.0,1657362150.0,940755706.0,705405482.0,11200962.0
2022-01-31,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,41469499.0,167059.0,496242.0,1192.0,2.0,1664786038.0,943027714.0,709926447.0,11831877.0
2022-02-01,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,41630885.0,161386.0,497975.0,1733.0,2.0,1671163877.0,944749420.0,714073668.0,12340789.0
2022-02-02,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,41803318.0,172433.0,498983.0,1008.0,2.0,1677030680.0,946259127.0,717972069.0,12799484.0
2022-02-03,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,41952712.0,149394.0,500055.0,1072.0,2.0,1681517744.0,947341172.0,721020585.0,13155987.0
2022-02-04,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,42080664.0,127952.0,501114.0,1059.0,2.0,1687048487.0,948717449.0,724768356.0,13562682.0
2022-02-05,2.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,42188138.0,107474.0,501979.0,865.0,2.0,1693177165.0,950308975.0,728875616.0,13992574.0
2022-02-06,2.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,42272014.0,83876.0,502874.0,895.0,2.0,1695886196.0,951213177.0,730532500.0,14140519.0
2022-02-07,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,42339611.0,67597.0,504062.0,1188.0,2.0,1696048044.0,951263816.0,730627102.0,14157126.0
